tran_dt,tran_tmng,wd_fc_sn,wd_ac_sn,dps_fc_sn,dps_ac_sn,tran_amt,md_type,fnd_type,ff_sp_ai,WD_NODE,DPS_NODE
2023-03-20,6,158,2000000001983697,136,2000000002084473,104247.0,6,0,,sdv-pii-npifs,149-2000000001648660
2023-03-12,15,160,2000000001968035,154,2000000001849872,300752.0,2,0,,sdv-pii-ahgt2,153-2000000001356992
2023-03-14,18,148,2000000001831631,135,2000000001876193,1703291.0,4,0,,sdv-pii-zt0h1,154-2000000000862028
2023-03-05,15,149,2000000002054531,135,2000000001105485,76205.0,4,0,,sdv-pii-ftxrp,134-2000000000644184
2023-03-26,12,153,2000000001468151,160,2000000000455066,17047135.0,4,0,SP,sdv-pii-s22wq,165-2000000001362569
2023-03-03,18,165,2000000000164155,160,2000000001905675,7708526.0,2,0,,sdv-pii-0olyb,153-2000000000198804
2023-03-24,15,135,2000000001442682,135,2000000000245893,82543.0,4,0,,sdv-pii-4jtzi,136-2000000001913997
2023-03-14,9,136,2000000001151349,160,2000000001553585,28830.0,7,3,,sdv-pii-ycrma,159-2000000000740775
2023-03-17,6,166,2000000000815708,153,2000000001311112,9761904.0,2,1,,sdv-pii-kc1q7,161-2000000001539082
2023-03-01,15,166,2000000000797510,153,2000000000507689,1.0,2,0,,sdv-pii-fmlri,160-2000000002089594
2023-03-23,3,165,2000000000149700,165,2000000001843050,24342.0,2,0,,sdv-pii-5x1cd,161-2000000000778382
2023-03-06,3,136,2000000001177344,113,2000000000686608,33098.0,7,0,,sdv-pii-uufk6,165-2000000000107113
2023-03-13,21,161,2000000000379697,136,2000000000431257,17654.0,4,0,,sdv-pii-ocqv3,135-2000000001924252
2023-03-03,18,154,2000000000258012,166,2000000000043459,1.0,4,0,SP,sdv-pii-zu188,165-2000000001077649
2023-03-09,18,166,2000000001823640,135,2000000001753656,325694.0,4,1,,sdv-pii-w2wq8,165-2000000001527257
2023-03-14,12,136,2000000001841562,165,2000000000397686,81695.0,4,0,,sdv-pii-r7oyo,160-2000000001985764
2023-03-16,12,136,2000000001112501,165,2000000000691564,74922.0,7,3,,sdv-pii-levi0,159-2000000000740775
2023-03-11,15,110,2000000000077080,165,2000000001070098,5345709.0,4,0,,sdv-pii-gy908,148-2000000001081238
2023-03-01,6,134,2000000000252468,165,2000000000614160,10843.0,7,4,,sdv-pii-yui6m,160-2000000000634921
2023-03-14,18,165,2000000001117086,160,2000000001883354,87646.0,2,0,,sdv-pii-gja2d,161-2000000002089685
2023-03-07,0,136,2000000000191522,160,2000000001317959,252631.0,2,0,,sdv-pii-avb33,160-2000000001030506
2023-03-18,9,165,2000000000751584,115,2000000000343513,386708.0,4,0,,sdv-pii-r15o2,166-2000000000161752
2023-03-08,6,165,2000000001928522,153,2000000000488773,284131.0,2,0,,sdv-pii-jthxr,135-2000000001323566
2023-03-14,15,136,2000000002009528,154,2000000000455376,82920.0,2,0,,sdv-pii-k9gis,153-2000000001008678
2023-03-10,15,136,2000000000991472,135,2000000000420003,247787.0,4,0,SP,sdv-pii-wjw9h,133-2000000001746585
2023-03-06,3,136,2000000001059092,165,2000000001616177,86603.0,4,0,,sdv-pii-q4ffw,137-2000000001342535
2023-03-25,12,135,2000000000919748,135,2000000000583906,1632964.0,4,0,,sdv-pii-fd3ty,135-2000000000636388
2023-03-21,6,135,2000000001099172,161,2000000001536384,95902.0,7,0,,sdv-pii-54s26,165-2000000001532677
2023-03-07,21,137,2000000001191334,134,2000000000723182,43823763.0,6,0,,sdv-pii-j6coa,159-2000000000721778
2023-03-09,21,134,2000000000137933,165,2000000001312270,94303.0,2,0,,sdv-pii-8ymgc,161-2000000002089685
2023-03-13,21,137,2000000001118762,160,2000000000631556,89517.0,6,0,,sdv-pii-glur9,133-2000000000566544
2023-03-08,9,160,2000000001934579,137,2000000000507910,818966.0,2,0,,sdv-pii-jrz39,133-2000000000933249
2023-03-22,18,148,2000000001897122,161,2000000000688056,15162256.0,4,0,01,sdv-pii-q88d0,153-2000000000853025
2023-03-20,6,160,2000000002025360,165,2000000000734044,854646.0,5,0,,sdv-pii-97a8s,133-2000000000746801
2023-03-22,21,159,2000000000119647,135,2000000001851087,27524.0,7,0,,sdv-pii-1ppn7,153-2000000001193388
2023-03-14,12,122,2000000000838868,165,2000000000624136,1960227.0,4,0,02,sdv-pii-yum7f,136-2000000000361644
2023-03-14,12,136,2000000001380733,161,2000000000600532,7189.0,5,0,,sdv-pii-mgkkc,154-2000000000209048
2023-03-14,18,134,2000000001096168,135,2000000000681092,83360.0,7,4,,sdv-pii-ueqtc,159-2000000000462959
2023-03-19,18,120,2000000001149818,154,2000000000553377,104475.0,3,0,,sdv-pii-zrmpq,160-2000000002015801
2023-03-06,12,134,2000000000223756,153,2000000002069762,94435.0,4,0,02,sdv-pii-byo3n,165-2000000001130420
2023-03-13,12,135,2000000001218010,161,2000000000559894,81650.0,6,0,,sdv-pii-ikigy,135-2000000001877916
2023-03-21,12,149,2000000001838225,135,2000000000958406,8987985.0,4,0,,sdv-pii-x74hn,132-2000000000240631
2023-03-25,21,136,2000000001245329,136,2000000002023582,1.0,6,3,,sdv-pii-u0t9v,153-2000000000481766
2023-03-08,9,154,2000000001734093,166,2000000001803856,93999.0,4,0,,sdv-pii-n8zsb,161-2000000000325166
2023-03-15,3,134,2000000001858090,165,2000000001123547,73148.0,4,0,,sdv-pii-y36yp,161-2000000002089685
2023-03-09,18,135,2000000001840725,160,2000000000972774,27269.0,4,0,SP,sdv-pii-y3ca8,136-2000000001330201
2023-03-21,6,158,2000000002049058,161,2000000001706347,10380.0,7,3,,sdv-pii-l1zjr,165-2000000001532677
2023-03-07,6,135,2000000001769606,153,2000000001867504,1.0,7,0,,sdv-pii-5avoz,153-2000000000198804
2023-03-13,12,148,2000000001984951,138,2000000000361623,71971.0,4,0,SP,sdv-pii-8oxx1,162-2000000000206579
2023-03-15,12,136,2000000001864794,135,2000000001560157,1992394.0,4,0,SP,sdv-pii-lnsas,160-2000000000827434
2023-03-16,21,159,2000000001222636,161,2000000001658160,5783.0,4,0,,sdv-pii-qbn4l,161-2000000000241700
2023-03-09,12,135,2000000000250531,165,2000000000248855,1842279.0,4,0,,sdv-pii-ki59r,161-2000000002089685
2023-03-13,18,148,2000000000140578,165,2000000000823527,2914.0,4,0,01,sdv-pii-o43qd,165-2000000000305332
2023-03-18,15,137,2000000000100946,153,2000000001779926,15383.0,5,0,,sdv-pii-gxc6y,154-2000000000209048
2023-03-15,21,147,2000000001377624,160,2000000000690580,24367.0,7,0,,sdv-pii-hnttp,161-2000000002089685
2023-03-15,18,149,2000000001500010,165,2000000000777618,7599312.0,2,0,01,sdv-pii-ysj7j,136-2000000001913997
2023-03-13,12,137,2000000000104801,137,2000000001831810,105251.0,7,0,,sdv-pii-dtt80,154-2000000001724164
2023-03-25,18,158,2000000000108976,148,2000000001151410,938446.0,2,0,,sdv-pii-c17af,160-2000000001955264
2023-03-14,18,153,2000000000321775,146,2000000000141915,1833344.0,4,0,,sdv-pii-u5ylu,135-2000000000513762
2023-03-14,6,165,2000000001972722,135,2000000000964650,93338.0,2,0,,sdv-pii-eaq1r,165-2000000000299480
2023-03-25,3,148,2000000001859188,136,2000000000947680,1931073.0,4,0,01,sdv-pii-ckb7v,136-2000000000141101
2023-03-18,9,148,2000000000178300,165,2000000001878952,261102.0,4,0,01,sdv-pii-j818a,135-2000000000528696
2023-03-10,3,136,2000000001193438,159,2000000000108641,74824.0,7,3,,sdv-pii-un0bf,159-2000000000668650
2023-03-13,12,136,2000000000021154,165,2000000000715516,2074368.0,2,0,,sdv-pii-igy1d,160-2000000000288502
2023-03-10,15,160,2000000000810208,160,2000000001374790,1.0,2,0,,sdv-pii-u8742,153-2000000001356992
2023-03-19,3,134,2000000000174351,165,2000000000256304,915942.0,7,0,,sdv-pii-ky4qu,134-2000000001015554
2023-03-18,3,147,2000000000024759,165,2000000000648191,1.0,1,0,,sdv-pii-a1jxu,165-2000000002010710
2023-03-14,15,148,2000000000077855,135,2000000000301360,1882006.0,4,0,01,sdv-pii-s1sku,135-2000000000954048
2023-03-11,18,135,2000000000373172,136,2000000002062578,807455.0,4,0,SP,sdv-pii-gdmdi,148-2000000000695978
2023-03-08,3,166,2000000000320774,165,2000000001026998,190631.0,7,0,01,sdv-pii-haddg,161-2000000000656821
2023-03-27,12,165,2000000002015204,154,2000000001353353,78278.0,7,0,,sdv-pii-0i692,153-2000000001356992
2023-03-02,12,165,2000000000542948,153,2000000000374941,1.0,7,0,,sdv-pii-o5uw5,159-2000000000740775
2023-03-14,18,136,2000000000274628,153,2000000000586185,89593.0,7,3,,sdv-pii-ge6km,153-2000000000424386
2023-03-14,21,160,2000000000285194,161,2000000001727135,54986.0,2,0,,sdv-pii-fgelq,148-2000000000859545
2023-03-14,12,165,2000000001937518,159,2000000001877739,31732.0,2,0,,sdv-pii-a8r5w,133-2000000000713580
2023-03-12,18,148,2000000001987003,134,2000000001911250,7503141.0,4,0,01,sdv-pii-rdbc3,161-2000000000207725
2023-03-13,15,135,2000000001894304,165,2000000000402348,873626.0,4,0,,sdv-pii-vatv5,153-2000000001852801
2023-03-15,9,148,2000000000355932,153,2000000002110274,92224.0,4,0,01,sdv-pii-iz90i,135-2000000001764018
2023-03-13,15,135,2000000000215939,135,2000000001821434,2287305.0,7,0,,sdv-pii-xthvj,136-2000000001990227
2023-03-09,18,135,2000000000795272,136,2000000000490144,904450.0,4,0,,sdv-pii-3hss9,133-2000000000869259
2023-03-07,9,149,2000000001792846,153,2000000001898254,2016979.0,2,0,,sdv-pii-hf51m,148-2000000000994181
2023-03-14,6,134,2000000001093970,161,2000000000657920,217110.0,4,4,,sdv-pii-qk4u4,161-2000000000645964
2023-03-15,21,147,2000000000212543,135,2000000001048956,2014700.0,4,0,,sdv-pii-n63lh,165-2000000002104438
2023-03-22,6,165,2000000001231602,153,2000000000640814,834690.0,4,0,,sdv-pii-l2vsk,165-2000000001742292
2023-03-23,21,161,2000000000305588,160,2000000000836754,1.0,5,0,,sdv-pii-l2g1d,161-2000000002089685
2023-03-13,9,136,2000000000055495,161,2000000001125627,326443.0,7,0,01,sdv-pii-hbpb9,165-2000000002033741
2023-03-20,6,161,2000000001884500,161,2000000000956059,102638.0,7,0,,sdv-pii-1e0br,136-2000000001167531
2023-03-14,18,165,2000000001972236,161,2000000000660044,382330.0,4,0,02,sdv-pii-03fnq,161-2000000000645964
2023-03-09,9,121,2000000000877287,125,2000000000477506,1934247.0,4,0,SP,sdv-pii-yk8wc,161-2000000000084003
2023-03-14,6,134,2000000000075835,153,2000000001175641,89361.0,7,0,,sdv-pii-kqh9a,159-2000000001429869
2023-03-10,21,165,2000000001864014,160,2000000001899971,1124237.0,2,0,,sdv-pii-v3w6o,135-2000000000528696
2023-03-12,12,148,2000000000216708,160,2000000000484026,9097393.0,4,0,,sdv-pii-u98rj,133-2000000001200064
2023-03-23,15,136,2000000000415848,153,2000000001870550,96258.0,7,0,,sdv-pii-g2hgc,160-2000000002015801
2023-03-14,0,135,2000000001112865,165,2000000000474747,12932.0,4,0,,sdv-pii-hmvp3,160-2000000000887824
2023-03-15,6,160,2000000001453833,165,2000000001080254,2066681.0,7,0,,sdv-pii-5c6te,165-2000000000998356
2023-03-09,18,135,2000000000822340,136,2000000000876300,19439.0,2,0,,sdv-pii-obfn6,148-2000000000859545
2023-03-20,21,161,2000000002014586,137,2000000001016224,416391.0,7,1,,sdv-pii-wpqx9,153-2000000000389896
2023-03-08,18,158,2000000001068690,160,2000000000766395,4800.0,5,0,,sdv-pii-hm7hv,147-2000000001618235
2023-03-06,12,148,2000000001997993,160,2000000001833410,2103947.0,2,0,02,sdv-pii-qwvr7,153-2000000001643116
2023-03-23,6,135,2000000000734468,161,2000000000441686,84134.0,7,4,,sdv-pii-j59wc,159-2000000000668650
2023-03-23,9,135,2000000001795576,120,2000000001845722,8188837.0,4,0,02,sdv-pii-wr0tw,136-2000000001313136
2023-03-14,12,135,2000000001153810,135,2000000002018634,82558.0,2,0,,sdv-pii-mmen6,133-2000000002107482
2023-03-15,18,165,2000000001757529,153,2000000001918659,1.0,2,0,,sdv-pii-3bfn9,136-2000000001874481
2023-03-25,9,137,2000000000786876,153,2000000001866373,96552.0,2,0,,sdv-pii-lp2co,123-2000000001381740
2023-03-12,12,153,2000000000594510,135,2000000000751329,979115.0,4,0,,sdv-pii-fxk0h,160-2000000000634921
2023-03-03,15,166,2000000001856405,161,2000000000757671,916245.0,2,0,,sdv-pii-sqcy7,153-2000000000853025
2023-03-02,15,148,2000000000198918,135,2000000000957015,1945944.0,4,0,,sdv-pii-jtjoa,159-2000000000535742
2023-03-09,12,149,2000000000939160,166,2000000000608664,2620356.0,6,0,,sdv-pii-h16ks,165-2000000000796558
2023-03-13,18,135,2000000000140651,165,2000000001050661,23543.0,4,0,,sdv-pii-xcx03,165-2000000001175608
2023-03-15,18,165,2000000000160302,165,2000000001897654,3708390.0,2,0,,sdv-pii-fwf9h,133-2000000000713580
2023-03-15,0,154,2000000000878298,161,2000000000314739,8968440.0,4,0,SP,sdv-pii-7g3sw,165-2000000001077649
2023-03-22,21,165,2000000000017878,165,2000000000791954,1932902.0,2,0,,sdv-pii-1y0dj,161-2000000002089685
2023-03-14,3,137,2000000001164765,153,2000000001814047,84267.0,7,3,,sdv-pii-4xb37,165-2000000001532677
2023-03-08,6,135,2000000001389924,135,2000000001664068,990604.0,7,4,,sdv-pii-dl6dm,136-2000000001418730
2023-03-11,18,160,2000000001822240,135,2000000000399246,110412.0,7,0,,sdv-pii-7rsea,154-2000000000311953
2023-03-21,12,165,2000000001856104,160,2000000001338780,8160639.0,2,0,,sdv-pii-pf447,153-2000000001852801
2023-03-13,15,148,2000000000875932,165,2000000001578391,232705.0,4,0,,sdv-pii-aey1z,149-2000000001493181
2023-03-05,15,136,2000000000266365,123,2000000000411380,1928343.0,4,0,02,sdv-pii-nlt3r,135-2000000001764018
2023-03-16,3,159,2000000001992346,165,2000000001555058,21710.0,7,0,,sdv-pii-wlinm,159-2000000001524249
2023-03-05,6,166,2000000000553557,161,2000000001176658,13655.0,7,4,,sdv-pii-st8mj,160-2000000001567653
2023-03-15,15,161,2000000000779114,154,2000000001349611,1.0,2,0,,sdv-pii-du9lb,153-2000000000198804
2023-03-13,21,149,2000000001756230,134,2000000000359362,836214.0,4,0,01,sdv-pii-9ijh1,149-2000000001711046
2023-03-24,21,135,2000000001146070,153,2000000000319004,1843365.0,4,0,02,sdv-pii-l7p51,159-2000000000240282
2023-03-19,9,166,2000000000978830,135,2000000000403954,1.0,7,1,,sdv-pii-0a0gv,135-2000000000273894
2023-03-14,12,148,2000000000280939,136,2000000000463850,80401.0,6,0,,sdv-pii-dmqpf,135-2000000002069358
2023-03-18,6,165,2000000000098240,160,2000000000738015,870463.0,5,0,,sdv-pii-3m4vl,159-2000000001042525
2023-03-14,21,149,2000000001808288,153,2000000001689106,1.0,6,0,,sdv-pii-gyp7b,133-2000000001362627
2023-03-13,18,165,2000000001635553,153,2000000001913394,835689.0,2,0,,sdv-pii-sah4i,133-2000000000713580
2023-03-05,21,136,2000000001136471,135,2000000000150552,31142.0,2,0,,sdv-pii-piy1u,132-2000000000400800
2023-03-14,9,147,2000000000154433,165,2000000001126068,359900.0,7,0,01,sdv-pii-38yz1,136-2000000001313136
2023-03-03,12,161,2000000000814318,153,2000000000504010,1.0,2,0,,sdv-pii-ry8m2,133-2000000002107859
2023-03-15,12,162,2000000000262374,165,2000000000394848,5939368.0,2,0,,sdv-pii-elc6p,160-2000000000634921
2023-03-09,21,148,2000000000415596,161,2000000000515647,1.0,4,0,02,sdv-pii-w47ke,161-2000000002089685
2023-03-13,9,153,2000000001172206,149,2000000001082642,972983.0,4,0,01,sdv-pii-idbee,159-2000000000535742
2023-03-12,15,148,2000000000161702,165,2000000001536304,230821.0,4,0,,sdv-pii-lune4,149-2000000001493181
2023-03-14,9,136,2000000002044058,161,2000000001586882,1.0,7,0,,sdv-pii-tpv7a,165-2000000001532677
2023-03-05,9,149,2000000001005778,165,2000000001917946,3501082.0,4,0,01,sdv-pii-82pee,166-2000000001391903
2023-03-08,18,135,2000000001287450,153,2000000000343444,90655.0,7,0,,sdv-pii-lklcr,160-2000000000634921
2023-03-14,6,165,2000000001857296,153,2000000001321994,88127.0,2,0,,sdv-pii-4zej3,133-2000000001656287
2023-03-13,12,165,2000000001830377,135,2000000000524220,83875.0,2,0,,sdv-pii-lf1hf,165-2000000001790892
2023-03-15,9,134,2000000000130551,165,2000000000684462,1.0,5,0,,sdv-pii-mz1lq,161-2000000000570202
2023-03-13,12,148,2000000000752727,159,2000000000565062,1867069.0,4,0,SP,sdv-pii-ifif3,136-2000000001361867
2023-03-08,15,165,2000000000138235,154,2000000001416068,100895.0,3,0,,sdv-pii-a6izs,153-2000000001356992
2023-03-09,15,160,2000000001855021,154,2000000001882220,6650.0,2,0,,sdv-pii-i8xvs,153-2000000001356992
2023-03-09,6,165,2000000001080780,153,2000000001387876,60110.0,5,0,,sdv-pii-dav9c,136-2000000001313136
2023-03-09,9,159,2000000000129926,165,2000000001852066,808560.0,4,0,,sdv-pii-m6p0d,165-2000000000584319
2023-03-25,15,160,2000000002018442,153,2000000000143569,77160.0,7,0,,sdv-pii-cvzmg,160-2000000001939770
2023-03-19,15,153,2000000000344241,165,2000000001047347,6216.0,4,0,01,sdv-pii-njspw,133-2000000001099109
2023-03-03,18,160,2000000000230068,134,2000000001141458,335439.0,2,0,,sdv-pii-s8797,133-2000000001872332
2023-03-12,12,134,2000000001091380,165,2000000000340531,1543704.0,4,0,01,sdv-pii-uxvce,136-2000000001991318
2023-03-14,15,135,2000000000318328,135,2000000000354945,1877130.0,4,0,01,sdv-pii-zi6s3,165-2000000001965514
2023-03-05,12,147,2000000001957354,161,2000000001451888,83085.0,7,1,,sdv-pii-vmhx0,161-2000000000640054
2023-03-20,15,137,2000000000276766,153,2000000002078966,1.0,6,0,,sdv-pii-xqiyz,165-2000000000741278
2023-03-06,12,136,2000000002070836,165,2000000000623746,196429.0,6,3,,sdv-pii-i7788,161-2000000000454482
2023-03-09,12,165,2000000001889992,160,2000000000699683,9442122.0,2,0,,sdv-pii-5axz5,165-2000000002010299
2023-03-24,12,165,2000000001935274,153,2000000000176026,18204.0,2,0,,sdv-pii-0oy9e,160-2000000002015801
2023-03-07,6,165,2000000002034268,134,2000000001381770,4152463.0,2,0,,sdv-pii-uag4c,162-2000000000827441
2023-03-25,6,161,2000000001939833,165,2000000001901451,323341.0,2,0,,sdv-pii-6ibxj,165-2000000001652597
2023-03-01,6,166,2000000001514572,161,2000000000673035,90726.0,7,1,,sdv-pii-ap00i,136-2000000001260719
2023-03-13,15,165,2000000000649916,153,2000000001356198,82475.0,4,0,,sdv-pii-so7ts,161-2000000001090560
2023-03-12,6,135,2000000002043956,160,2000000001593532,100306.0,7,0,,sdv-pii-q3gvp,166-2000000000397608
2023-03-23,18,147,2000000000918888,165,2000000002095438,7044506.0,4,0,01,sdv-pii-y6miy,159-2000000000835264
2023-03-25,9,148,2000000000114184,135,2000000000942274,1790666.0,4,0,,sdv-pii-1av9b,160-2000000000241171
2023-03-22,6,135,2000000000830070,161,2000000000674781,370003.0,7,4,,sdv-pii-n7qk3,161-2000000001840918
2023-03-07,15,135,2000000000097908,135,2000000001951232,1706664.0,5,0,,sdv-pii-jkdo5,161-2000000000762540
2023-03-13,9,165,2000000002030140,165,2000000001043037,16165.0,7,4,,sdv-pii-4r6z6,159-2000000001429869
2023-03-09,15,136,2000000001010036,134,2000000000396701,1860203.0,4,0,,sdv-pii-tovbe,160-2000000000030440
2023-03-24,0,165,2000000000178138,160,2000000000398834,1979345.0,2,0,,sdv-pii-epmy7,153-2000000001852801
2023-03-09,12,159,2000000001938981,160,2000000000119112,874457.0,4,0,02,sdv-pii-vht9a,146-2000000001921372
2023-03-01,15,165,2000000000055135,153,2000000001836338,20907.0,2,0,,sdv-pii-91x0m,165-2000000000584319
2023-03-16,6,165,2000000000196057,160,2000000000646605,97368.0,7,0,,sdv-pii-lehg3,153-2000000000424386
2023-03-13,12,134,2000000000342835,136,2000000000850402,1733378.0,4,0,02,sdv-pii-kb1xb,136-2000000000361644
2023-03-14,6,136,2000000001232604,161,2000000000262254,1.0,7,3,,sdv-pii-q9g7d,159-2000000001598160
2023-03-13,15,148,2000000001484141,153,2000000000525043,6724629.0,4,0,02,sdv-pii-yprkj,133-2000000000746801
2023-03-25,9,154,2000000001851502,165,2000000000362694,74353.0,4,0,SP,sdv-pii-gifto,136-2000000000486067
2023-03-15,21,166,2000000001794794,161,2000000000382997,5074895.0,2,0,,sdv-pii-9smwh,149-2000000001386865
2023-03-16,15,136,2000000001300337,159,2000000000111484,1802031.0,4,0,SP,sdv-pii-xdccs,133-2000000000869259
2023-03-14,12,160,2000000001107063,122,2000000000546568,96341.0,4,3,,sdv-pii-zw80g,136-2000000000485341
